venue.id,mean,sd,park_effect,park_effect_halved,park_effect_p_1sd,park_effect_m_1sd,park_effect_halved_m_1sd,park_effect_halved_p_1sd,venue.name,years,level,year,teams.home.team.id,teams.home.team.name,level_num
2822,1.4176493368765604,0.4624031523395901,117,108,127,106,103,114,Cooley Law School Stadium,2,Class A,2017,499,Lansing Lugnuts,14
2510,1.501675648852461,0.3904633707467669,117,109,126,108,104,113,Estadio Jose Bernardo Perez,3,Winter League,2017,696,Navegantes del Magallanes,17
3030,1.5090864208148815,1.3198584848597639,117,109,147,88,94,123,Estadio Alfonso Carrasquel,3,Winter League,2017,694,Caribes de Anzoategui,17
2762,1.4896322680477838,1.1107634148445384,117,109,142,92,96,121,Everett Memorial Stadium,4,Class A Short Season,2017,403,Everett AquaSox,15
4611,1.4734912277588201,1.1471168208713,117,108,142,91,96,121,Holloway Field,4,Winter League,2017,4065,Brisbane Bandits,17
2802,1.7956073140788535,0.5540987600453126,117,108,127,107,103,113,Lindquist Field,4,Rookie Advanced,2017,530,Ogden Raptors,5442
2762,1.435318605293703,1.0797566649684023,117,108,141,92,96,121,Everett Memorial Stadium,5,Class A Short Season,2017,403,Everett AquaSox,15
3029,1.4696353664415063,1.1299874072339071,117,108,142,92,96,121,Estadio Universitario,5,Winter League,2017,698,Tiburones de La Guaira,17
2854,1.490184417317958,0.5030677756269635,117,108,128,106,103,114,LoanMart Field,1,Class A Advanced,2018,526,Rancho Cucamonga Quakes,13
2807,1.4305834452596604,0.42004778065921045,117,108,126,107,104,113,McCormick Field,1,Class A,2018,573,Asheville Tourists,14
